Epoch: [31][20/27], lr: 0.00100	Time 0.342 (1.442)	Data 0.000 (1.095)	Loss 1.3344 (1.4301)	Prec@1 12.500 (17.857)	Prec@5 100.000 (70.833)
Epoch: [32][0/27], lr: 0.00100	Time 20.195 (20.195)	Data 19.810 (19.810)	Loss 1.3590 (1.3590)	Prec@1 37.500 (37.500)	Prec@5 75.000 (75.000)
Epoch: [32][20/27], lr: 0.00100	Time 0.341 (1.288)	Data 0.000 (0.943)	Loss 1.3706 (1.4238)	Prec@1 50.000 (19.643)	Prec@5 75.000 (69.048)
Epoch: [33][0/27], lr: 0.00100	Time 16.760 (16.760)	Data 16.361 (16.361)	Loss 1.3791 (1.3791)	Prec@1 37.500 (37.500)	Prec@5 100.000 (100.000)
Epoch: [33][20/27], lr: 0.00100	Time 0.345 (1.333)	Data 0.000 (0.963)	Loss 1.3843 (1.4078)	Prec@1 37.500 (20.238)	Prec@5 75.000 (72.024)
Epoch: [34][0/27], lr: 0.00100	Time 17.307 (17.307)	Data 16.841 (16.841)	Loss 1.4351 (1.4351)	Prec@1 12.500 (12.500)	Prec@5 62.500 (62.500)
Epoch: [34][20/27], lr: 0.00100	Time 0.341 (1.152)	Data 0.000 (0.802)	Loss 1.5633 (1.4422)	Prec@1 0.000 (20.833)	Prec@5 50.000 (70.833)
Test: [0/6]	Time 2.235 (2.235)	Loss 1.1313 (1.1313)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 76.087 Loss 1.43216 
Best Prec@1: 28.261
Epoch: [35][0/27], lr: 0.00100	Time 19.096 (19.096)	Data 18.676 (18.676)	Loss 1.5279 (1.5279)	Prec@1 37.500 (37.500)	Prec@5 62.500 (62.500)
Epoch: [35][20/27], lr: 0.00100	Time 0.345 (1.402)	Data 0.000 (1.050)	Loss 1.4087 (1.4355)	Prec@1 25.000 (26.190)	Prec@5 62.500 (73.810)
Epoch: [36][0/27], lr: 0.00100	Time 33.651 (33.651)	Data 33.263 (33.263)	Loss 1.4755 (1.4755)	Prec@1 0.000 (0.000)	Prec@5 75.000 (75.000)
Epoch: [36][20/27], lr: 0.00100	Time 0.345 (2.010)	Data 0.000 (1.663)	Loss 1.4270 (1.4017)	Prec@1 12.500 (27.381)	Prec@5 75.000 (77.381)
Epoch: [37][0/27], lr: 0.00100	Time 26.661 (26.661)	Data 26.232 (26.232)	Loss 1.3796 (1.3796)	Prec@1 37.500 (37.500)	Prec@5 75.000 (75.000)
Epoch: [37][20/27], lr: 0.00100	Time 0.348 (1.820)	Data 0.000 (1.471)	Loss 1.3543 (1.4282)	Prec@1 37.500 (27.976)	Prec@5 87.500 (76.190)
Epoch: [38][0/27], lr: 0.00100	Time 30.910 (30.910)	Data 30.497 (30.497)	Loss 1.3879 (1.3879)	Prec@1 37.500 (37.500)	Prec@5 75.000 (75.000)
Epoch: [38][20/27], lr: 0.00100	Time 0.347 (1.821)	Data 0.000 (1.474)	Loss 1.3861 (1.4394)	Prec@1 25.000 (22.024)	Prec@5 75.000 (74.405)
Epoch: [39][0/27], lr: 0.00100	Time 26.112 (26.112)	Data 25.712 (25.712)	Loss 1.4116 (1.4116)	Prec@1 25.000 (25.000)	Prec@5 75.000 (75.000)
Epoch: [39][20/27], lr: 0.00100	Time 0.342 (1.761)	Data 0.000 (1.414)	Loss 1.3946 (1.4236)	Prec@1 37.500 (26.190)	Prec@5 75.000 (77.381)
Test: [0/6]	Time 2.613 (2.613)	Loss 1.6776 (1.6776)	Prec@1 0.000 (0.000)	Prec@5 0.000 (0.000)
Testing Results: Prec@1 23.913 Prec@5 76.087 Loss 1.42854 
Best Prec@1: 28.261
Epoch: [40][0/27], lr: 0.00100	Time 20.838 (20.838)	Data 20.428 (20.428)	Loss 1.4471 (1.4471)	Prec@1 12.500 (12.500)	Prec@5 87.500 (87.500)
Epoch: [40][20/27], lr: 0.00100	Time 0.347 (1.642)	Data 0.000 (1.294)	Loss 1.4277 (1.4214)	Prec@1 25.000 (27.381)	Prec@5 62.500 (70.238)
Epoch: [41][0/27], lr: 0.00100	Time 25.980 (25.980)	Data 25.584 (25.584)	Loss 1.4116 (1.4116)	Prec@1 12.500 (12.500)	Prec@5 75.000 (75.000)
Epoch: [41][20/27], lr: 0.00100	Time 0.345 (1.563)	Data 0.000 (1.218)	Loss 1.3303 (1.4090)	Prec@1 25.000 (24.405)	Prec@5 100.000 (76.786)
Epoch: [42][0/27], lr: 0.00100	Time 20.876 (20.876)	Data 20.476 (20.476)	Loss 1.2886 (1.2886)	Prec@1 37.500 (37.500)	Prec@5 100.000 (100.000)
Epoch: [42][20/27], lr: 0.00100	Time 0.344 (1.468)	Data 0.000 (1.121)	Loss 1.4482 (1.4074)	Prec@1 25.000 (20.833)	Prec@5 62.500 (76.786)
Epoch: [43][0/27], lr: 0.00100	Time 21.725 (21.725)	Data 21.285 (21.285)	Loss 1.3626 (1.3626)	Prec@1 50.000 (50.000)	Prec@5 75.000 (75.000)
Epoch: [43][20/27], lr: 0.00100	Time 0.343 (1.361)	Data 0.000 (1.014)	Loss 1.4163 (1.4063)	Prec@1 25.000 (25.000)	Prec@5 50.000 (74.405)
Epoch: [44][0/27], lr: 0.00100	Time 17.074 (17.074)	Data 16.648 (16.648)	Loss 1.3813 (1.3813)	Prec@1 25.000 (25.000)	Prec@5 75.000 (75.000)
Epoch: [44][20/27], lr: 0.00100	Time 0.347 (1.413)	Data 0.000 (1.056)	Loss 1.5837 (1.4308)	Prec@1 0.000 (23.810)	Prec@5 75.000 (75.595)
Test: [0/6]	Time 2.354 (2.354)	Loss 1.2188 (1.2188)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 23.913 Prec@5 71.739 Loss 1.40506 
Best Prec@1: 28.261
Epoch: [45][0/27], lr: 0.00100	Time 18.020 (18.020)	Data 17.625 (17.625)	Loss 1.3845 (1.3845)	Prec@1 25.000 (25.000)	Prec@5 75.000 (75.000)
Epoch: [45][20/27], lr: 0.00100	Time 0.340 (1.233)	Data 0.000 (0.886)	Loss 1.4516 (1.4570)	Prec@1 0.000 (23.810)	Prec@5 75.000 (75.595)
Epoch: [46][0/27], lr: 0.00100	Time 18.137 (18.137)	Data 17.710 (17.710)	Loss 1.6537 (1.6537)	Prec@1 12.500 (12.500)	Prec@5 62.500 (62.500)
Epoch: [46][20/27], lr: 0.00100	Time 0.346 (1.225)	Data 0.000 (0.876)	Loss 1.5029 (1.4452)	Prec@1 12.500 (22.024)	Prec@5 62.500 (70.238)
Epoch: [47][0/27], lr: 0.00100	Time 19.702 (19.702)	Data 19.283 (19.283)	Loss 1.4870 (1.4870)	Prec@1 12.500 (12.500)	Prec@5 50.000 (50.000)
Epoch: [47][20/27], lr: 0.00100	Time 0.346 (1.267)	Data 0.000 (0.920)	Loss 1.6063 (1.4125)	Prec@1 12.500 (23.214)	Prec@5 37.500 (72.024)
Epoch: [48][0/27], lr: 0.00100	Time 18.066 (18.066)	Data 17.645 (17.645)	Loss 1.4079 (1.4079)	Prec@1 25.000 (25.000)	Prec@5 62.500 (62.500)
Epoch: [48][20/27], lr: 0.00100	Time 0.344 (1.255)	Data 0.000 (0.909)	Loss 1.3142 (1.4279)	Prec@1 25.000 (24.405)	Prec@5 100.000 (70.833)
Epoch: [49][0/27], lr: 0.00100	Time 13.222 (13.222)	Data 12.810 (12.810)	Loss 1.4331 (1.4331)	Prec@1 37.500 (37.500)	Prec@5 62.500 (62.500)
Epoch: [49][20/27], lr: 0.00100	Time 0.344 (1.132)	Data 0.000 (0.783)	Loss 1.3725 (1.4014)	Prec@1 50.000 (21.429)	Prec@5 75.000 (68.452)
Test: [0/6]	Time 2.284 (2.284)	Loss 1.4169 (1.4169)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Testing Results: Prec@1 28.261 Prec@5 76.087 Loss 1.38796 
Best Prec@1: 28.261
Epoch: [50][0/27], lr: 0.00010	Time 16.274 (16.274)	Data 15.846 (15.846)	Loss 1.3633 (1.3633)	Prec@1 37.500 (37.500)	Prec@5 75.000 (75.000)
Epoch: [50][20/27], lr: 0.00010	Time 0.339 (1.100)	Data 0.000 (0.755)	Loss 1.3015 (1.3929)	Prec@1 62.500 (27.381)	Prec@5 75.000 (73.214)
Epoch: [51][0/27], lr: 0.00010	Time 15.283 (15.283)	Data 14.842 (14.842)	Loss 1.3637 (1.3637)	Prec@1 37.500 (37.500)	Prec@5 75.000 (75.000)
